city_name,country_code,random_latitude,random_longitude,latitude,longitude,Temperature,Humidity,Cloudiness,Wind_speed
moron,mn,46.93999999997277,98.82000000014261,47.38,110.32,13.49,50,0,2.12
hit,iq,31.17999999997589,42.76000000011396,33.64,42.83,18.99,73,0,4.97
nalut,ly,30.43999999997604,10.580000000097499,31.86,10.98,14.99,46,0,1.57
jurilovca,ro,44.679999999973205,28.86000000010685,44.77,28.87,14.53,82,0,1
udachnyy,ru,66.67999999996883,112.00000000014938,66.42,112.4,3.49,96,92,3.97
vostok,ru,51.39999999997187,151.30000000016946,46.45,135.83,11.44,39,0,1.37
kirakira,sb,-12.820000000015355,162.100000000175,-10.46,161.92,27.04,100,80,5.47
balikpapan,id,-1.5400000000175993,116.8600000001519,-1.24,116.86,28.94,100,8,1.92
wagar,sd,15.919999999978927,35.280000000110135,16.15,36.2,32.49,19,0,3.32
altay,cn,46.95999999997275,90.66000000013844,47.83,88.13,11.24,53,0,1.37
atar,mr,24.13999999997729,-10.339999999913204,20.52,-13.05,15.64,23,0,1.47
fukue,jp,31.07999999997591,127.10000000015714,35.03,136.69,24.19,56,75,9.3
zakamensk,ru,50.719999999972,102.70000000014466,50.38,103.29,14.69,54,0,2.12
cherepovets,ru,59.43999999997027,38.10000000011158,59.13,37.92,0.79,67,0,5.67
kaeo,nz,-32.66000000001141,174.8000000001815,-35.1,173.78,16.99,65,76,1.42
ballina,au,-31.980000000011543,162.06000000017502,-28.87,153.57,21.44,100,80,7.12
san jeronimo,mx,13.259999999979456,-102.43999999996032,29.37,-110.79,24,19,5,3.1
roebourne,au,-22.70000000001339,118.54000000015276,-20.77,117.15,38.49,15,0,2.17
torbay,ca,35.79999999997497,-49.59999999993329,47.66,-52.73,-1,86,90,1.5
walvis bay,na,-24.840000000012964,8.600000000096486,-22.95,14.51,11,93,90,2.77
the valley,ai,24.619999999977196,-60.9599999999391,18.22,-63.06,26,78,75,4.1
hasaki,jp,32.77999999997557,149.1000000001684,35.73,140.83,17.06,77,75,5.1
xiaoweizhai,cn,26.039999999976914,108.88000000014779,26.23,107.51,21.19,82,88,1.67
najran,sa,18.899999999978334,47.66000000011647,17.54,44.22,29,32,75,0.52
willmar,us,45.51999999997304,-94.81999999995642,45.12,-95.04,4.73,93,1,1.97
nanortalik,gl,56.21999999997092,-37.07999999992688,60.14,-45.24,1.49,87,80,10.27
rocky mountain house,ca,51.87999999997177,-114.9199999999667,52.38,-114.92,0.54,74,88,1.32
antofagasta,cl,-22.780000000013374,-73.63999999994559,-23.65,-70.4,15,87,20,0.5
russell,nz,-32.920000000011356,176.5200000001824,-35.26,174.12,16.99,65,76,1.42
belmonte,br,-19.220000000014082,-25.819999999921123,-26.84,-53.58,18.84,91,8,2.12
alexandria,eg,29.87999999997615,29.080000000106963,31.2,29.89,19.39,82,0,2.52
la ronge,ca,64.81999999996918,-103.85999999996105,55.1,-105.3,1,90,90,4.6
denpasar,id,-11.580000000015602,114.24000000015053,-8.65,115.22,30.59,59,0,1.67
vestmanna,fo,68.39999999996849,-9.399999999912723,62.16,-7.17,7,93,92,8.7
vardo,no,85.4399999999651,34.500000000109736,70.37,31.11,0,100,75,5.1
seabra,br,-12.120000000015494,-42.11999999992946,-12.42,-41.77,17.89,91,88,4.67
rio grande,br,-32.56000000001143,-52.07999999993456,-32.03,-52.1,22.39,93,36,4.12
mar del plata,ar,-60.44000000000588,-32.63999999992461,-46.43,-67.52,8.79,71,24,7.52
pundaguitan,ph,5.959999999980909,127.4800000001573,6.37,126.17,28.29,100,24,2.07
